ID,Japanese,English,Chinese,EnglishCensored,Korean,German
62,"","Greed","貪婪","","탐욕","Gier"
63,"","Gluttony","暴食","","폭식","Völlerei"
64,"","Sloth","怠惰","","나태","Faulheit"
65,"","Furious Howl","憤怒的咆哮","","분노의 포효","Wütendes Heulen"
66,"","Envy","嫉妒","","질투","Neid"
67,"","Lust","色慾","","색욕","Begehren"
68,"","Pride","傲慢","","오만","Hochmut"
69,"","Gehenna","磯漢那","","게헤나","Gehenna"
70,"","Dragon Mode","龍型態","","드래곤 모드","Drachenmodus"
71,"","Fighter Mode","戰士型態","","파이터 모드","Kämpfermodus"
72,"","Holy Salvation","救世的護法","","구세의 호법","Heilige Erlösung"
73,"","Parallel World Tactician","異世界的軍師","","이세계의 군사","Parallelwelt-Taktik"
74,"","Destiny","命運","","운명","Schicksal"
75,"","Innocent Eyes","天真無邪的眼眸","","순진무구한 눈동자","Unschuldiger Blick"
76,"","Aus Generics","超越平凡","","아우스 제네릭스","Aus-Generika"
77,"","Moon-Kissed Blade","月下冰刃","","월하빙인","Mondklinge"
78,"","Evil Heart","惡魔之心","","이블 하트","Böses Herz"
79,"","Blaster","正電子砲","","양전자포","Blaster"
80,"","D-Brigade","Ｄ－軍團","","D-브리가드","D-Brigade"
81,"","Unstable Singularity","不穩定特異","","불안정한 특이","Instabile Singularität"
82,"","Freyr","弗雷亞","","프레이아","Freyr"
83,"","Shining Burst","閃爍爆裂","","샤이닝 버스트","Strahlender Stoß"
84,"","Mirage Burst","幻影爆破","","미라지 버스트","Mirage-Stoß"
85,"","Crimson Formation","無雙天翔翼之陣","","무쌍천상익지진","Purpur-Formation"
86,"","Tifaret","生命之樹","","티파렛","Tifaret"
87,"","Utopia","理想鄉","","이상향","Utopie"
88,"","Vampire","吸血鬼","","흡혈귀","Vampir"
89,"","Purge Shine","肅清閃光","","퍼지 샤인","Säuberungsglanz"
90,"","Crimson Mode","真紅蓮型態","","크림슨 모드","Crimson Mode"
91,"","Human Spirit","人類鬥士精神","","휴먼 스피릿","Menschlicher Geist"
92,"","Beast Spirit","野獸鬥士精神","","비스트 스피릿","Bestiengeist"
93,"","Wind-Flame, Ice-Sword","風為焰，冰牙成吾劍","","바람은 화염에 빙아는 검에","Windflamme, Eisschwert"
94,"","Dark-Lgt, Thunder-Cannon","黑暗為光芒，雷牙成砲彈","","어둠은 빛에 뇌아는 포에","Dunkellicht-Donnerkanone"
95,"","God of War","武神","","무신","Kriegsgott"
96,"","Gekirin","逆鱗","","역린","Gekirin"
97,"","Tenryu","天龍","","천룡","Tenryu"
98,"","Chiryu","地龍","","지룡","Chiryu"
99,"","Blast Digivolution","爆裂進化","","블래스트 에볼루션","Knall-Digitation"
100,"","Holy Stigma","神聖烙印","Feral Power","홀리 스티그마","Wildkraft"
101,"","Supervisor","監察官","","훈육담당","Aufseher"
102,"","Cross Heart","十字利心","","크로스 하트","Kreuzherz"
103,"","Infinity Dream","無限之夢","","인피니티 드림","Unendlichkeitstraum"
104,"","Legend-Arms","Legend－Arms","","Legend-Arms","Legendenwaffen"
105,"","Vampire King","吸血鬼之王","","흡혈귀의 왕","Vampirkönig"
106,"","Platinum Service","白金服務","","플래티넘 서비스","Platin-Service"
107,"","Digital Hazard","數碼危機","","디지털 해저드","Digitale Bedrohung"
108,"","Unwavering Defense","強力接招","","완전 방어","Solide Verteidigung"
109,"","NXEdge Style","NXEDGE STYLE","","넥스엣지 스타일","NXEdge-Stil"
110,"","NXEdge Style","NXEDGE STYLE","","넥스엣지 스타일","NXEdge-Stil"
111,"","NXEdge Style","NXEDGE STYLE","","넥스엣지 스타일","NXEdge-Stil"
112,"","Counter-Attack","逆襲","","역습","Gegenattacke"
113,"","NXEdge Style","NXEDGE STYLE","","넥스엣지 스타일","NXEdge-Stil"
114,"","NXEdge Style","NXEDGE STYLE","","넥스엣지 스타일","NXEdge-Stil"
115,"","Samurai Spirit","武士風範","","무사 기질","Geist der Samurai"
116,"","Revelation","啟示錄","","묵시록","Offenbarung"
