ID,Japanese,English,Chinese,EnglishCensored,Korean,German
356,,Disco Piumato,輕羽光碟,,페더 디스크,Federdisc
357,,Disco Gladiatore,劍鬥士光碟,,글래디에이터 디스크,Gladiatorendisc
358,,Master Disc,大師光碟,,마스터 디스크,Meisterdisc
359,,Protezione Fuoco,火之守護者,,플레어 가드,Flammendeckung
360,,Protezione Fuoco DX,火之守護者DX,,플레어 가드 DX,Flammendeckung DX
361,,Protezione Acqua,水之守護者,,아쿠아 가드,Wasserdeckung
362,,Protezione Acqua DX,水之守護者DX,,아쿠아 가드 DX,Wasserdeckung DX
363,,Protezione Erba,木之守護者,,플랜트 가드,Pflanzendeckung
364,,Protezione Erba DX,木之守護者DX,,플랜트 가드 DX,Pflanzendeckung DX
365,,Protezione Elettrica,雷之守護者,,일렉트릭 가드,Elektrodeckung
366,,Protezione Elettrica DX,雷之守護者DX,,일렉트릭 가드 DX,Elektrodeckung DX
367,,Protezione Terra,土之守護者,,샌드 가드,Sanddeckung
368,,Protezione Terra DX,土之守護者DX,,샌드 가드 DX,Sanddeckung DX
369,,Protezione Vento,風之守護者,,윈드 가드,Winddeckung
370,,Protezione Vento DX,風之守護者DX,,윈드 가드 DX,Winddeckung DX
371,,Protezione Luce,光之守護者,,샤인 가드,Lichtdeckung
372,,Protezione Luce DX,光之守護者DX,,샤인 가드 DX,Lichtdeckung DX
373,,Protezione Oscura,闇之守護者,,다크 가드,Dunkeldeckung
374,,Protezione Oscura DX,闇之守護者DX,,다크 가드 DX,Dunkeldeckung DX
375,,Protezione Anti-Disturbo,雜訊守護者,,노이즈 가드,Lärmdeckung
376,,Protezione Rumore DX,雜訊守護者DX,,노이즈 가드 DX,Lärmdeckung DX
377,,Protezione Suprema,萬能守護者,,마스터 가드,Meisterdeckung
378,,Barriera Velenosa,劇毒屏障,,포이즌 배리어,Giftbarriere
379,,Barriera Veleno DX,劇毒屏障DX,,포이즌 배리어 DX,Giftbarriere DX
380,,Barriera Anti-Panico,混亂屏障,,패닉 배리어,Panikbarriere
381,,Barriera Panico DX,混亂屏障DX,,패닉 배리어 DX,Panikbarriere DX
382,,Barriera Paralisi,麻痺屏障,,패럴라이즈 배리어,Lähmungsbarriere
383,,Barriera Paralisi DX,麻痺屏障DX,,패럴라이즈 배리어 DX,Lähmungsbarriere DX
384,,Barriera Sonno,睡眠屏障,,슬립 배리어,Schlafbarriere
385,,Barriera Sonno DX,睡眠屏障DX,,슬립 배리어 DX,Schlafbarriere DX
386,,Barriera Stordente,暈眩屏障,,스턴 배리어,Betäubungsbarriere
387,,Barriera Stordente DX,暈眩屏障DX,,스턴 배리어 DX,Betäubungsbarr. DX
388,,Barriera Pixel,液晶化屏障,,도트 배리어,Pixelbarriere
389,,Barriera Pixel DX,液晶化屏障DX,,도트 배리어 DX,Pixelbarriere DX
390,,Barriera Bug,Bug屏障,,버그 배리어,Fehlerbarriere
391,,Barriera Anti-Bug DX,Bug屏障DX,,버그 배리어 DX,Fehlerbarriere DX
392,,Barriera Mortale,即死屏障,,데스 배리어,Todesbarriere
393,,Barriera Mortale DX,即死屏障DX,,데스 배리어 DX,Todesbarriere DX
394,,Barriera Master,萬能屏障,,마스터 배리어,Meisterbarriere
395,,USB CAM,友情的USB,,우정의 USB,KAM-USB
396,,USB Ninja,忍者的USB,,닌자의 USB,Ninja-USB
397,,USB del Tattico,軍師的USB,,군사의 USB,Taktiker-USB
398,,USB Miliardaria,億萬富翁的USB,,억만장자의 USB,Milliardärs-USB
399,,USB ad alta capacità,大容量的USB,,대용량의 USB,USB mit großem Volumen
400,,USB Ricercatore,探索者的USB,,탐구자의 USB,Forscher-USB
401,,Programma Speciale Yuugo,YUGO特製程式,,유고의 특제 프로그램,Yuugo-Spezialprog.
402,,Replica di Memetan,小梅梅的複製品,,메메땅의 레플리카,Memetan-Kopie
403,,Blocco Penna,PEN阻隔,,PEN블록,Blockmarker
10101,,Occhiali da Cyber Sleuth,電腦偵探的防風鏡,,전뇌탐정의 고글,Cyberdetektiv-Brille
12401,,Occhiali d'oro,金色防風鏡,,금색 고글,Goldene Brille
10201,,Visore Potenziato,高性能顯示器,,고성능 바이저,Leistungsfäh. Visier
12501,,Visiera Dorata,金色顯示器,,금색 바이저,Goldenes Visier
10301,,Kagami Mochi (B),鏡餅【白】,,찰떡(백),Kagami-Mochi (weiß)
10302,,Kagami Mochi (R+B),鏡餅【紅白】,,찰떡(홍백),Kagami-Mochi (rot/w)
12601,,Kagami Mochi (G),鏡餅【金】,,찰떡(금),Kagami-Mochi (gold)
10401,,Bambola Motimon Specchio,鏡餅年糕獸【玩偶】,,찰떡 모티몬(인형),Spiegel-Motimonpuppe
10501,,Cuore di Cioccolato,愛心巧克力,,하트 초콜릿,Schokoherz
10502,,Cuore di Cioccolato W.,愛心白巧克力,,화이트 하트 초콜릿,Weißes Schokoherz
12701,,Simbolo di cuore,心型符號,,하크 마크,Herzsymbol
12702,,Cuore Infranto,粉碎之心,,브레이킹 하트,Gebrochenes Herz
12801,,Cuore d'oro,黃金之心,,골든 하트,Goldenes Herz
12901,,Tulipano,鬱金香,,튤립,Tulpe
13001,,Tulipano Dorato,金色鬱金香,,금색 튤립,Goldene Tulpe
10701,,Cappello Taoista di Taomon,道士獸的陰陽帽,,도사몬의 음양사 모자,Taomons Toaisten-Hut
10801,,Bancho Cap,番長的制服帽,,반쵸의 교복 모자,Bancho-Hut
10901,,Cappello da poliziotto,警帽,,경찰 모자,Polizistenmütze
10902,,Cappello da Capitano,艦長的制服帽,,함장 제복 모자,Kapitänsmütze
13101,,Digiuovo Verde,綠色數碼蛋,,녹색 디지타마,Grünes Digi-Ei
13102,,Digiuovo Rosso,紅色數碼蛋,,적색 디지타마,Rotes Digi-Ei
13201,,Digiuovo d'Oro,金色數碼蛋,,금색 디지타마,Goldenes Digi-Ei
11001,,Bandiera di Seadramon,海龍鯉魚旗,,시드라 깃발,Seadramon-Flagge
11101,,Bandiera di Airdramon,飛龍鯉魚旗,,에어드라 깃발,Airdramon-Flagge
13301,,Bandiera di carpa,鯉魚旗,,잉어 깃발,Karpfen-Flagge
13401,,Bandiera dorata di carpa,金色鯉魚旗,,금색 잉어 깃발,Gold-Karpfen-Flagge
11201,,Bambola di ShellNumemon,貝殼鼻涕獸人偶,,달팽이워매 인형,ShellNumemon-Puppe
11301,,Bambola BlackKingNumemon,黑帝鼻涕獸人偶,,블랙킹워매 인형,BlackKingNum.-Puppe
13501,,Bambola BK-Numemon (G),金色黑帝鼻涕獸人偶,,블랙킹워매(금) 인형,G. BlackKingN.-Puppe
11401,,Superstar,超級星星,,슈퍼 스타,Toller Stern
11402,,Stella Blu,藍色星星,,블루 스타,Blauer Stern
11403,,Stella Rossa,紅色星星,,레드 스타,Roter Stern
13601,,Tripla Stella,三連星,,트리플 스타,Dreifacher Stern
11501,,Cappello di paglia rosso,紅色草帽,,빨간 밀짚모자,Roter Strohhut
11601,,Cappello di paglia blu,藍色草帽,,파란 밀짚모자,Blauer Strohhut
13701,,Girasole,向日葵,,해바라기,Sonnenblume
13801,,Fiore di Palmon,巴魯獸的花,,팔몬의 꽃,Palmon-Blume
13901,,Fiore dorato,金色花朵,,골드플라워,Goldene Blume
11701,,Moon Dumplings,賞月丸子,,달맞이 경단,Mond-Klöße
11702,,Dumpling Luna Rossa,紅豆餡賞月丸子,,달맞이 팥소 경단,Rote Mond-Klöße
11703,,Ravioli di Luna Verde,毛豆泥賞月丸子,,달맞이 찹쌀 경단,Grüne Mond-Klöße
14001,,Tocca Mortaio,博士帽,,박사님 모자,Doktorhut
14101,,Tocca Tesi Dorata,金色博士帽,,금색 박사님 모자,Goldener Doktorhut
11801,,Zucca Mostro,怪物南瓜,,유령 호박,Monsterkürbis
11802,,Zucca Mostruosa B,怪物黑南瓜,,유령 흑호박,Monsterkürbis (s)
14201,,Zucca Mostro G,怪物金南瓜,,유령 금호박,Monsterkürbis (g)
11901,,Marionetta di Pumpkinmon,南瓜獸人偶,,펌프몬 인형,Pumpkinmon-Puppe
12001,,Digi-Bambù,數碼菇,,디지 버섯,Digibambus
12002,,Fungo Vigore,堅硬菇,,터프니스 버섯,Lebenspilz
12003,,Fungo Velenoso,毒菇,,독버섯,Giftpilz
14301,,Fungo Dorato,金色菇,,금버섯,Goldener Pilz
12101,,Cappello di Babbo Natale,聖誕帽,,산타 모자,Weihnachtsmannmütze
12102,,Cappello da Babbo Natale Nero,黑聖誕帽,,블랙 산타 모자,Weihnachtsmannm. (s)
12103,,Cappello da Babbo Natale Verde,綠聖誕帽,,그린 산타 모자,Weihnachtsmannm. (g)
14401,,Cassa Regali,禮物盒【白】,,선물 상자(백),Weißes Geschenk
14402,,Scatola Regali,禮物盒【紅】,,선물 상자(적),Rotes Geschenk
14501,,Scatola Regalo,禮物盒【金】,,선물 상자(금),Goldenes Geschenk
12201,,Corona Re,國王王冠,,킹 크라운,Königskrone
12301,,Corona Dorata,金色王冠,,금왕관,Goldene Krone
12302,,Corona Argentea,銀色王冠,,은왕관,Silberne Krone
12303,,Corona Bronzo,銅色王冠,,구리왕관,Bronzene Krone
