ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1083,,Pugno di Ghiaccio Sub-Zero,絕對零度拳,,절대영도 펀치,Unter-Null-Eisstoß
1084,,Pugno del Re Bestia,獸王拳,,야수주먹,Königsfaust
1085,,Vento Affilato,驅驅裂空斬,,구구렬공참,Klingenwind
1086,,Turbo Stinger,渦輪螫針,,터보 스팅거,Turbostich
1087,,Horn Buster,超大角炮,,호른버스터,Hornschlag
1088,,Lame Coniglio,萬斧斬,,아시파트라바나,Hasenklingen
1089,,Spada Spirale,旋轉能量劍,,안드로검,Spiralschwert
1090,,Flare Galattico,宇宙閃光,,코스모 플래시,Galaktische Fackel
1091,,Spararagnatele,地獄榴彈,,헬즈 그레네이드,Spinnenschuss
1092,,Incursione Notturna,夜魔飛襲,,나이트 레이드,Nächtlicher Überfall
1093,,Impulso del Drago,神龍衝擊,,드래곤 임펄스,Drachenstoß
1094,,Serenata d'Amore,愛心光線,,러브 세레나데,Liebeslied
1095,,Freccia Celestiale,神聖弓箭,,천국의 화살,Himmelspfeil
1096,,Doppia Artiglio a Forbice,亞米加剪刀臂,,시저암즈Ω,Scherenschnitt
1097,,Ala Ombra,影翼斬,,쉐도우 윙,Schattenflügel
1098,,Ingranaggi Genocidi,種族滅絕飛彈,,제노사이드 어택,Vernichtungswerk
1099,,Nitro Stinger,硝基毒針,,니트로 스팅거,Nitrostich
1100,,Il Re dei Pugni,獅子獸波斬,,사자수파참,König der Fäuste
1101,,Artiglio della Desolazione,絕滅爪,,이레이즈 크로,Kralle der Vernichtung
1102,,Distruttore di Disastri,荒御魂,,니기미타마,Unheilsblaster
1103,,Bomba Ciliegia,櫻桃炸彈,,페리봄,Kirschbombe
1104,,Top Gun,衝上雲霄,,탑건,Top Gun
1105,,Superstar Uppercut,巨星上勾拳,,슈퍼스타 어퍼,Superstar-Kinnhaken
1106,,Uccello dell'Oblio,湮沒獵鳥,,오블리비언 버드,Vogel des Vergessens
1107,,Martello di Vulcano,重鎚火花,,해머 스파크,Vulkanhammer
1108,,Talismano di Luce,梵筆閃,,범필섬,Talisman des Lichts
1109,,Spada Fendente di Vento,疾風天翔劍,,질풍천상검,Windschneiderschwert
1110,,Sindrome dell'Incubo,惡夢症候群,,나이트메어 신드롬,Albtraum-Syndrom
1111,,Fuoco Heavy Metal,重金屬火焰,,헤비 메탈 파이어,Schwermetall-Feuer
1112,,Pugno Musicale,破壞音波,,사무라이 토네,Musikfaust
1113,,Meteora di Metallo,金屬流星,,메탈 메테오,Metallmeteor
1114,,Spada Berserk,狂暴大劍,,베르세르크 소드,Berserkerschwert
1115,,Bomba Digitale,插入式炸彈,,플러그봄,Digi-Bombe
1116,,Death Parade Blaster,死亡火箭炮,,데스페라도 블래스터,Trauerzug-Blaster
1117,,Pugno di Ghiaccio,冰獸拳,,얼음주먹,Eisfaust
1118,,Dolcetto o scherzetto,不給糖就搗蛋,,트릭 오어 트리트,Halloweenstreich
1119,,Bomba a Fossa,位元炸彈,,비트 봄,Grubenbombe
1120,,Allievo Oscuro,黑暗瞳孔,,다크 퓨필,Dunkler Schüler
1121,,Fiamma Fredda,寒冷火花,,콜드플레임,Kalte Flamme
1122,,Bacio Volante,惡魔飛吻,,악마의 키스날리기,Fliegender Kuss
1123,,Onda Anomala,大海嘯,,타이달 웨이브,Flutwelle
1124,,Porta del Paradiso,天國之門,,천국의 문,Himmelstor
1125,,Pugno Vincente,勝利拳擊,,위닝 너클,Siegesknöchel
1126,,Bomba Sorriso,微笑炸彈,,스마일리 폭탄,Lachbomber
1127,,Giavellotto di Fulmine,轟雷槍,,번개창날리기,Blitzspeer
1128,,Attacco Genocida,種族滅絕攻擊,,제노사이드 어택,Vernichtungsschlag
1129,,Atomic Blaster,原子爆焰,,아토믹 블래스터,Atom-Blaster
1130,,Giga Distruttore,究極破壞炮,,기가 디스트로이어,Giga-Zerstörer
1131,,Fiamma della Vendetta,復仇火焰,,리벤지 플레임,Flamme der Rache
1132,,Laser Nucleare,核子雷射光,,뉴클리어 레이저,Nuklearlaser
1133,,Bomba Energetica,能量炸彈,,에너지 폭탄,Energiebombe
1134,,Cuori all'Attacco,愛心一擊,,러블리 어택,Liebesattacke
1135,,Imperatore Selvaggio,甕布都神,,미카후츠노카미,Barbarenkaiser
1136,,Revolver Trident,三叉戟左輪,,트라이덴트 리볼버,Dreizack-Revolver
1137,,Doccia di Lila,丁香驟雨,,라일라 샤워,Lila Dusche
1138,,Triangolo Dorato,黃金三角,,골든 트라이앵글,Goldenes Dreieck
1139,,Cannone Floreale,花仙炮,,꽃잎 포,Blumenkanone
1140,,Vivo o Morto,生死交錯,,데드 오어 얼라이브,Tot oder Lebendig
1141,,Onda Oscura,黑暗波,,암흑파,Dunkelheit
1142,,Artiglio di Lupo,凱撒銳爪,,카이져네일,Wolfskralle
1143,,Dialogo di Pandora,潘朵拉對話,,판도라 다이얼로그,Pandora-Dialog
1144,,Spada del Re Drago,王龍劍,,왕룡검,Klinge des Drachenkönigs
1145,,Il Raggio della Vittoria,閃光V字斬,,샤이닝V포스,Strahl des Sieges
1146,,Rottura Cerebrale,腦部破裂,,브레인 럽쳐,Schädelbruch
1147,,Megamorte,百萬屠殺,,메가 데스,Megatod
1148,,Laser Positronico,光子雷射,,포지트론 레이저,Positronen-Laser
1149,,Tormenta Artica,北極暴風雪,,아크틱 블리자드,Arktischer Schneesturm
1150,,Infusione Velenosa,劇毒流注,,베놈 인퓨즈,Giftinfusion
1151,,Forza della Terra,蓋亞能量炮,,가이아포스,Terra-Macht
1152,,Gloria di Pendragon,大龍頭之光榮,,펜드래건즈 글로리,Pendragons Ruhm
1153,,Giavellotto di Eden,伊甸園標槍,,에덴즈 자벨린,EDEN-Speer
1154,,Lama Fuoco Fatale,燐火斬,,임화참,Irrwisch-Schlag
1155,,Disastro Demoniaco,惡魔災難,,데몬즈 디자스터,Dämonisches Unheil
1156,,Terremoto!Esplosione!Fuoco!Padre!,地神！神鳴！神馳！親父！,,지신! 신명! 신치! 친부!,Beben!Expl.!Feuer!Vater!
1157,,Taizoukai Mandala,胎藏界曼荼羅,,태장계만다라,Taizoukai-Mandala
1158,,Forbice Dimensionale,次元剪刀,,디멘션 시저,Scherenschwert
1159,,Distruzione Improvvisa,破壞崩潰,,디스트로이드 크래쉬,Zerstörungsangriff
1160,,La fine del valzer,終結華爾茲,,엔드 왈츠,Ende des Walzers
1161,,Giudizio Divino,天國審判,,헤븐즈저지먼트,Himmlisches Urteil
1162,,Urlo Frantumante,粉碎之爪,,네일 크러셔,Heulendes Elend
1163,,Mandala Ametista,金剛界曼荼羅,,금강계만다라,Amethyst-Mandala
1164,,Spada GeoGrey,大地暴龍劍,,지오그레이 소드,GeoGrau-Schwert
1165,,Calcio di Giustizia,審判飛腳,,저스티스 킥,Tritt der Gerechtigkeit
1166,,Bifrost,虹橋,,비프로스트,Bifrost
1167,,Assalto delle Sette Stelle,七重天堂,,세븐스 헤븐즈,Schlag der Sieben Sterne
1168,,Colpo Burst,爆裂轟擊,,버스트 샷,Kartätsche
1169,,Mach Stinger V,馬赫刺針V,,마하스팅거V,Machstich V
1170,,Attacco Nucleo dell'Anima,魂魄芯擊,,혼백심격,Seelenangriff
1171,,Cannone Catastrofe,大災難,,카타스트로피 캐논,Katastrophenkanone
1172,,Inferno di Fiamme,火焰地獄,,플레임 인페르노,Flammendes Inferno
1173,,Giostra di Fulmini,皇家槍擊,,로얄 세이버,Blitz-Tjost
1174,,Alito di Viverna,飛龍之息,,브레스 오브 와이번,Lindwurmodem
1175,,Onda di Estinzione,滅絕,,아우스 스타벤,Welle der Auslöschung
1176,,Raggio Atomico,原子射線,,아토믹 레이,Atomstrahl
1177,,Giudizio della Lama,轍劍制裁,,철검성패,Klingenurteil
1178,,Pandemonio Perduto,群魔殿迷失,,판데모니엄 로스트,Verlorenes Pandämonium
1179,,Pugno del Boss Scintillante,閃光番長拳,,플래시 반쵸 펀치,Glitzernder Bossschlag
1180,,Spada di fiori,王牌飛劍,,트럼프검,Trumpfkarte
1181,,Pestaggio di Burattini,爆炸鐵鎚,,피노키해머,Puppenhammer
1182,,Ferraglia di Platino,白金糞便,,플래티넘 액스클레멘트,Platinschrott
1183,,Forza Oscura della Terra,黑暗蓋亞能量炮,,암흑의 가이아포스,Dunkle Terra-Macht
1184,,Testata Sorriso,微笑彈頭,,스마일리 워헤드,Lächelsprengkopf
1185,,Sorrow Blue,悲痛之藍,,소로 블루,Leidendes Blau
1186,,Giga Blaster,千兆爆破,,기가블래스터,Gigaschlag
1187,,Doppio Impatto,雙重衝擊,,더블 임팩트,Doppelter Einschlag
1188,,Incubo Eterno,永恆惡夢,,이터널 나이트메어,Ewiger Albtraum
1189,,Esplosione di Luce Stellare,星光爆破,,S익스플로전,Sternenlicht-Explosion
1190,,Tornado di fuoco,神聖火焰,,홀리 플레임,Flammenwind
1191,,Pungiglione Tomahawk,戰斧斯坦納,,토마호크 슈타이너,Tomahawk-Stich
1192,,Degradazione del Chaos,混沌降階,,카오스 디그레이드,Chaos-Verringerung
1193,,Amore Oceanico,海洋之愛,,오션 러브,Liebesattacke
1194,,Rotolamento d'Attacco,強襲旋斬,,스트라이크 롤,Schlagrolle
1195,,Blaster Luna Piena,滿月衝擊波,,풀문 블래스터,Vollmond-Blaster
1196,,Cannone Infinito,無限大炮,,∞캐논,Unendlichkeitskanone
1197,,Scivolone sulla banana,蕉皮滑行,,바나나 슬립,Bananenschale
1198,,Artiglio di Lupo di Ghiaccio,優雅十字凍結者,,그레이스 크로스 프리저,Eiswolf-Kralle
1199,,Garuru Tomahawk,加魯魯戰斧,,가루루 토마호크,Garuru-Tomahawk
1200,,Fiume di Potere,究極波浪炮,,얼티메이트 스트림,Energiefluss
1201,,Sciame del Terrore,驚駭電磁炮,,테러스 클러스터,Schwarm des Schreckens
1202,,Stritolata Mordace,魔顎,,로스트룸,Beißendes Zermalmen
1203,,Dolore Fantasma,幻影苦痛,,팬텀 페인,Phantomschmerz
1204,,Lama Celestiale,天之尾羽張,,아메노오하바리,Himmelsklinge
1205,,Mascherata a Spirale,螺旋假面舞蹈會,,스파이럴 마스커레이드,Spiral-Maskerade
1206,,Frusta Spinosa,荊棘之鞭,,손 위프,Dornenpeitsche
1207,,La Fantasia dei Sette,七重幻想曲,,세븐즈 판타지아,Siebens Fantasia
1208,,Spada Omni,奧米加之劍,,오메가 블레이드,Omnischwert
1209,,Spada Trascendente,暴龍颶風劍,,그레이 소드,Graues Schwert
1210,,Cannone Supremo,加魯魯加農炮,,가루루 캐논,Überlegene Kanone
1211,,Vulcan Crusher,摩天大廈,,볼켄 크러셔,Vulkan-Zerstörer
1212,,Dono dell'Oscurità,暗黑天賦,,기프트 오브 다크니스,Gabe der Dunkelheit
1213,,Espiazione Divina,神之贖罪,,디바인 어톤먼트,Göttliche Sühne
1214,,Pugno Fiammeggiante,烈焰拳,,너클 파이어,Flammenfaust
1215,,S-Oro Tempesta Solare,閃金太陽風暴,,S골드솔라스톰,S-Gold Sonnensturm
1216,,Triangolo Dorato,黃金三角,,골든 트라이앵글,Goldenes Dreieck
1223,,L'Attacco Espresso,特急攻擊,,L익스프레스 어택,L-Schnellangriff
1224,,Scudo del Giusto,極樂淨土,,파이널 엘리시온,Schild der Gerechten
1225,,Capovolgi il tavolo,掀飯桌,,밥상뒤집기,Tischwurf
1226,,Spada della Vittoria,究極聖劍,,알포스 세이버,Siegesschwert
1227,,Digitalizzazione dell'anima,數碼之魂,,디지털라이즈 오브 소울,Seelen-Digitalisierung
1228,,Colpo al Plasma,等離子射擊,,플라즈마 슛,Plasmaschuss
1229,,Alito di Odino,奧丁之息,,오딘즈 브레스,Odins Atem
1230,,Respiro degli Dei,神之庇佑,,갓 브레스,Atem der Götter
1231,,Ruggito del Drago,龍之怒吼,,드래곤즈 로어,Drachengebrüll
1232,,Pugno di Atena,銀色恐懼,,어젠트 피어,Athenes Faust
1233,,Impatto Draconico,龍魂衝擊,,드래고닉 임팩트,Drachen-Einschlag
1234,,Esplosione di Aura Nera,熾烈回馬槍,,에른스트 웰,Schwarze Aura-Explosion
1235,,Spirito Universale,劍靈,,슈베르트 가이스트,Weltgeist
1236,,Grande Tornado,神聖龍捲風,,브레이브 토네이도,Großer Tornado
1237,,Tornado Nero,黑暗龍捲風,,블랙 토네이도,Schwarzer Tornado
1238,,Prigione di Judecca,猶大環監獄,,주데카 프리즌,Judecca-Gefängnis
1239,,Buona Notte Luna,晚安之月,,굿나잇 문,Guter Nachtmond
1240,,Bolle,泡泡,,거품,Blasen
1241,,Bit di Fuoco,位元火焰,,비트 파이어,Bit-Feuer
1242,,Piccolo Corno,幼角,,리틀혼,Kleines Horn
1243,,Zanna Gelida,冰結之牙,,프리즈팡,Eiszahn
1244,,Calcio di Luna Piena,弦月彎刀,,가루 킥,Vollmondtritt
1245,,Anello Lucente,閃光環,,샤이니 링,Funkelnder Ring
1246,,Super Olfatto,超惡臭,,하이퍼 스멜,Hypergeruch
1247,,Artiglio Congelato,冰霜之爪,,프로스트 클로,Eiskralle
3000,,Nube di Napalm I,雲霧汽油彈Ⅰ,,볼케 네이팜Ⅰ,Napalmwolke I
3001,,Nube di Napalm II,雲霧汽油彈Ⅱ,,볼케 네이팜Ⅱ,Napalmwolke II
3002,,Nube di Napalm III,雲霧汽油彈Ⅲ,,볼케 네이팜Ⅲ,Napalmwolke III
3003,,Fiammata Impetuosa I,爆裂火焰Ⅰ,,버스트 플레임Ⅰ,Flammen-Explosion I
3004,,Fiammata Impetuosa II,爆裂火焰Ⅱ,,버스트 플레임Ⅱ,Flammen-Explosion II
3005,,Fiammata Impetuosa III,爆裂火焰Ⅲ,,버스트 플레임Ⅲ,Flammen-Explosion III
3006,,Caduta Meteorica I,流星墜落Ⅰ,,메테오 폴Ⅰ,Meteorsturz I
3007,,Caduta Meteorica II,流星墜落Ⅱ,,메테오 폴Ⅱ,Meteorsturz II
3008,,Caduta Meteorica III,流星墜落Ⅲ,,메테오 폴Ⅲ,Meteorsturz III
3009,,Freccia Gelida I,寒冰之箭Ⅰ,,아이스 아처리Ⅰ,Eisbogenschießen I
3010,,Freccia Gelida II,寒冰之箭Ⅱ,,아이스 아처리Ⅱ,Eisbogenschießen II
3011,,Freccia Gelida III,寒冰之箭Ⅲ,,아이스 아처리Ⅲ,Eisbogenschießen III
3012,,Idro Acqua I,發電水流Ⅰ,,하이드로 워터Ⅰ,Hydro-Wasser I
3013,,Idro Acqua II,發電水流Ⅱ,,하이드로 워터Ⅱ,Hydro-Wasser II
3014,,Idro Acqua III,發電水流Ⅲ,,하이드로 워터Ⅲ,Hydro-Wasser III
3015,,Onda Oceanica I,大海波浪Ⅰ,,오션 웨이브Ⅰ,Meereswelle I
3016,,Onda Oceanica II,大海波浪Ⅱ,,오션 웨이브Ⅱ,Meereswelle II
3017,,Onda Oceanica III,大海波浪Ⅲ,,오션 웨이브Ⅲ,Meereswelle III
3018,,Lama a Falce I,新月之葉Ⅰ,,크레센트 리프Ⅰ,Sichelblatt I
3019,,Lama a Falce II,新月之葉Ⅱ,,크레센트 리프Ⅱ,Sichelblatt II
3020,,Lama a Falce III,新月之葉Ⅲ,,크레센트 리프Ⅲ,Sichelblatt III
3021,,Elemento Gaia I,蓋亞元素Ⅰ,,가이아 엘리먼트Ⅰ,Gaia-Element I
3022,,Elemento Gaia II,蓋亞元素Ⅱ,,가이아 엘리먼트Ⅱ,Gaia-Element II
3023,,Elemento Gaia III,蓋亞元素Ⅲ,,가이아 엘리먼트Ⅲ,Gaia-Element III
3024,,Foresta delle Rune I,符文之森Ⅰ,,룬 포레스트Ⅰ,Runenwald I
3025,,Foresta delle Rune II,符文之森Ⅱ,,룬 포레스트Ⅱ,Runenwald II
3026,,Foresta delle Rune III,符文之森Ⅲ,,룬 포레스트Ⅲ,Runenwald III
3027,,Nanomacchine Distruttrici I,奈米機械破壞Ⅰ,,나노머신 브레이크Ⅰ,Nanomaschinenbruch I
3028,,Nanomacchine Distruttrici II,奈米機械破壞Ⅱ,,나노머신 브레이크Ⅱ,Nanomaschinenbruch II
3029,,Nanomacchine Distruttrici III,奈米機械破壞Ⅲ,,나노머신 브레이크Ⅲ,Nanomaschinenbruch III
3030,,Tuono Celeste I,天國閃電Ⅰ,,헤븐즈 선더Ⅰ,Himmlischer Donner I
3031,,Tuono Celeste II,天國閃電Ⅱ,,헤븐즈 선더Ⅱ,Himmlischer Donner II
3032,,Tuono Celeste III,天國閃電Ⅲ,,헤븐즈 선더Ⅲ,Himmlischer Donner III
3033,,Tuono Incalzante I,閃電墜擊Ⅰ,,선더 폴Ⅰ,Donnerschlag I
3034,,Tuono Incalzante II,閃電墜擊Ⅱ,,선더 폴Ⅱ,Donnerschlag II
3035,,Tuono Incalzante III,閃電墜擊Ⅲ,,선더 폴Ⅲ,Donnerschlag III
3036,,Cometa Martello I,彗星重鎚Ⅰ,,코멧 해머Ⅰ,Kometenhammer I
3037,,Cometa Martello II,彗星重鎚Ⅱ,,코멧 해머Ⅱ,Kometenhammer II
3038,,Cometa Martello III,彗星重鎚Ⅲ,,코멧 해머Ⅲ,Kometenhammer III
3039,,Gran Roccia I,雄偉巨石Ⅰ,,그랜드 록Ⅰ,Großer Fels I
3040,,Gran Roccia II,雄偉巨石Ⅱ,,그랜드 록Ⅱ,Großer Fels II
3041,,Gran Roccia III,雄偉巨石Ⅲ,,그랜드 록Ⅲ,Großer Fels III
3042,,Terremoto Devastante I,地牛翻身Ⅰ,,어스퀘이크Ⅰ,Gewaltiges Erdbeben I
3043,,Terremoto Devastante II,地牛翻身Ⅱ,,어스퀘이크Ⅱ,Gewaltiges Erdbeben II
3044,,Terremoto Devastante III,地牛翻身Ⅲ,,어스퀘이크Ⅲ,Gewaltiges Erdbeben III
3045,,Artiglio di Vento I,烈風利爪Ⅰ,,윈드 클로Ⅰ,Windkralle I
3046,,Artiglio di Vento II,烈風利爪Ⅱ,,윈드 클로Ⅱ,Windkralle II
3047,,Artiglio di Vento III,烈風利爪Ⅲ,,윈드 클로Ⅲ,Windkralle III
3048,,Vuoto Assoluto I,音速空洞Ⅰ,,소닉 보이드Ⅰ,Absolute Stille I
3049,,Vuoto Assoluto II,音速空洞Ⅱ,,소닉 보이드Ⅱ,Absolute Stille II
3050,,Vuoto Assoluto III,音速空洞Ⅲ,,소닉 보이드Ⅲ,Absolute Stille III
3051,,Tempesta Impetuosa I,狂風暴雨Ⅰ,,게일 스톰Ⅰ,Heftiger Sturm I
3052,,Tempesta Impetuosa II,狂風暴雨Ⅱ,,게일 스톰Ⅱ,Heftiger Sturm II
3053,,Tempesta Impetuosa III,狂風暴雨Ⅲ,,게일 스톰Ⅲ,Heftiger Sturm III
3054,,Sacro Pugno I,神聖鉤爪Ⅰ,,세인트 너클Ⅰ,Heiligenknöchel I
3055,,Sacro Pugno II,神聖鉤爪Ⅱ,,세인트 너클Ⅱ,Heiligenknöchel II
3056,,Sacro Pugno III,神聖鉤爪Ⅲ,,세인트 너클Ⅲ,Heiligenknöchel III
3057,,Luce Sacra I,神聖之光Ⅰ,,홀리 라이트Ⅰ,Heiliges Licht I
3058,,Luce Sacra II,神聖之光Ⅱ,,홀리 라이트Ⅱ,Heiliges Licht II
3059,,Luce Sacra III,神聖之光Ⅲ,,홀리 라이트Ⅲ,Heiliges Licht III
3060,,Laser Lucente I,閃耀雷射Ⅰ,,샤인 레이저Ⅰ,Strahlender Laser I
3061,,Laser Lucente II,閃耀雷射Ⅱ,,샤인 레이저Ⅱ,Strahlender Laser II
3062,,Laser Lucente III,閃耀雷射Ⅲ,,샤인 레이저Ⅲ,Strahlender Laser III
3063,,Cannone Distruttivo I,破壞加農Ⅰ,,디스트로이 캐논Ⅰ,Zerstörungskanone I
3064,,Cannone Distruttivo II,破壞加農Ⅱ,,디스트로이 캐논Ⅱ,Zerstörungskanone II
3065,,Cannone Distruttivo III,破壞加農Ⅲ,,디스트로이 캐논Ⅲ,Zerstörungskanone III
3066,,Incubo I,夢魘Ⅰ,,나이트메어Ⅰ,Albtraum I
3067,,Incubo II,夢魘Ⅱ,,나이트메어Ⅱ,Albtraum II
3068,,Incubo III,夢魘Ⅲ,,나이트메어Ⅲ,Albtraum III
3069,,Distruttore Infernale I,地獄粉碎Ⅰ,,헬 크러셔Ⅰ,Höllenzerstörer I
3070,,Distruttore Infernale II,地獄粉碎Ⅱ,,헬 크러셔Ⅱ,Höllenzerstörer II
