ID,Japanese,English,Chinese,EnglishCensored,Korean,German
349,"","Fighter Disk","戰士光碟","","파이터 디스크","Kämpferdisc"
350,"","Sage Disk","賢者光碟","","세이지 디스크","Weisendisc"
351,"","Assassin Disk","刺客光碟","","어쌔신 디스크","Meuchelmörderdisc"
352,"","Bishop Disk","主教光碟","","비숍 디스크","Bischofsdisc"
353,"","Monk Disk","僧侶光碟","","몽크 디스크","Mönchsdisc"
354,"","Spirit Disk","神靈光碟","","스피릿 디스크","Geistdisc"
355,"","Ranger Disk","遊俠光碟","","레인저 디스크","Waldläuferdisc"
356,"","Feather Disk","輕羽光碟","","페더 디스크","Federdisc"
357,"","Gladiator Disk","劍鬥士光碟","","글래디에이터 디스크","Gladiatorendisc"
358,"","Master Disk","大師光碟","","마스터 디스크","Meisterdisc"
359,"","Flare Guard","火之守護者","","플레어 가드","Flammendeckung"
360,"","Flare Guard DX","火之守護者DX","","플레어 가드 DX","Flammendeckung DX"
361,"","Aqua Guard","水之守護者","","아쿠아 가드","Wasserdeckung"
362,"","Aqua Guard DX","水之守護者DX","","아쿠아 가드 DX","Wasserdeckung DX"
363,"","Plant Guard","木之守護者","","플랜트 가드","Pflanzendeckung"
364,"","Plant Guard DX","木之守護者DX","","플랜트 가드 DX","Pflanzendeckung DX"
365,"","Electric Guard","雷之守護者","","일렉트릭 가드","Elektrodeckung"
366,"","Electric Guard DX","雷之守護者DX","","일렉트릭 가드 DX","Elektrodeckung DX"
367,"","Sand Guard","土之守護者","","샌드 가드","Sanddeckung"
368,"","Sand Guard DX","土之守護者DX","","샌드 가드 DX","Sanddeckung DX"
369,"","Wind Guard","風之守護者","","윈드 가드","Winddeckung"
370,"","Wind Guard DX","風之守護者DX","","윈드 가드 DX","Winddeckung DX"
371,"","Shine Guard","光之守護者","","샤인 가드","Lichtdeckung"
372,"","Shine Guard DX","光之守護者DX","","샤인 가드 DX","Lichtdeckung DX"
373,"","Dark Guard","闇之守護者","","다크 가드","Dunkeldeckung"
374,"","Dark Guard DX","闇之守護者DX","","다크 가드 DX","Dunkeldeckung DX"
375,"","Noise Guard","雜訊守護者","","노이즈 가드","Lärmdeckung"
376,"","Noise Guard DX","雜訊守護者DX","","노이즈 가드 DX","Lärmdeckung DX"
377,"","Master Guard","萬能守護者","","마스터 가드","Meisterdeckung"
378,"","Poison Barrier","劇毒屏障","","포이즌 배리어","Giftbarriere"
379,"","Poison Barrier DX","劇毒屏障DX","","포이즌 배리어 DX","Giftbarriere DX"
380,"","Panic Barrier","混亂屏障","","패닉 배리어","Panikbarriere"
381,"","Panic Barrier DX","混亂屏障DX","","패닉 배리어 DX","Panikbarriere DX"
382,"","Paralysis Barrier","麻痺屏障","","패럴라이즈 배리어","Lähmungsbarriere"
383,"","Paralysis Barrier DX","麻痺屏障DX","","패럴라이즈 배리어 DX","Lähmungsbarriere DX"
384,"","Sleep Barrier","睡眠屏障","","슬립 배리어","Schlafbarriere"
385,"","Sleep Barrier DX","睡眠屏障DX","","슬립 배리어 DX","Schlafbarriere DX"
386,"","Stun Barrier","暈眩屏障","","스턴 배리어","Betäubungsbarriere"
387,"","Stun Barrier DX","暈眩屏障DX","","스턴 배리어 DX","Betäubungsbarr. DX"
388,"","Pixel Barrier","液晶化屏障","","도트 배리어","Pixelbarriere"
389,"","Pixel Barrier DX","液晶化屏障DX","","도트 배리어 DX","Pixelbarriere DX"
390,"","Bug Barrier","Bug屏障","","버그 배리어","Fehlerbarriere"
391,"","Bug Barrier DX","Bug屏障DX","","버그 배리어 DX","Fehlerbarriere DX"
392,"","Death Barrier","即死屏障","","데스 배리어","Todesbarriere"
393,"","Death Barrier DX","即死屏障DX","","데스 배리어 DX","Todesbarriere DX"
394,"","Master Barrier","萬能屏障","","마스터 배리어","Meisterbarriere"
395,"","CAM USB","友情的USB","","우정의 USB","KAM-USB"
396,"","Ninja USB","忍者的USB","","닌자의 USB","Ninja-USB"
397,"","Tactician USB","軍師的USB","","군사의 USB","Taktiker-USB"
398,"","Billionaire USB","億萬富翁的USB","","억만장자의 USB","Milliardärs-USB"
399,"","Large Capacity USB","大容量的USB","","대용량의 USB","USB mit großem Volumen"
400,"","Researcher USB","探索者的USB","","탐구자의 USB","Forscher-USB"
401,"","Yuugo Special Program","YUGO特製程式","","유고의 특제 프로그램","Yuugo-Spezialprog."
402,"","Memetan Replica","小梅梅的複製品","","메메땅의 레플리카","Memetan-Kopie"
403,"","Pen Block","PEN阻隔","","PEN블록","Blockmarker"
10101,"","Cyber Sleuth Goggles","電腦偵探的防風鏡","","전뇌탐정의 고글","Cyberdetektiv-Brille"
12401,"","Golden Goggles","金色防風鏡","","금색 고글","Goldene Brille"
10201,"","High-Powered Visor","高性能顯示器","","고성능 바이저","Leistungsfäh. Visier"
12501,"","Golden Visor","金色顯示器","","금색 바이저","Goldenes Visier"
10301,"","Kagami Mochi (W)","鏡餅【白】","","찰떡(백)","Kagami-Mochi (weiß)"
10302,"","Kagami Mochi (R+W)","鏡餅【紅白】","","찰떡(홍백)","Kagami-Mochi (rot/w)"
12601,"","Kagami Mochi (G)","鏡餅【金】","","찰떡(금)","Kagami-Mochi (gold)"
10401,"","Mirror Motimon Doll","鏡餅年糕獸【玩偶】","","찰떡 모티몬(인형)","Spiegel-Motimonpuppe"
10501,"","Chocolate Heart","愛心巧克力","","하트 초콜릿","Schokoherz"
10502,"","W. Chocolate Heart","愛心白巧克力","","화이트 하트 초콜릿","Weißes Schokoherz"
12701,"","Heart Symbol","心型符號","","하크 마크","Herzsymbol"
12702,"","Breaking Heart","粉碎之心","","브레이킹 하트","Gebrochenes Herz"
12801,"","Golden Heart","黃金之心","","골든 하트","Goldenes Herz"
12901,"","Tulip","鬱金香","","튤립","Tulpe"
13001,"","Golden Tulip","金色鬱金香","","금색 튤립","Goldene Tulpe"
10701,"","Taomon's Taoist Hat","道士獸的陰陽帽","","도사몬의 음양사 모자","Taomons Toaisten-Hut"
10801,"","Bancho Cap","番長的制服帽","","반쵸의 교복 모자","Bancho-Hut"
10901,"","Police Cap","警帽","","경찰 모자","Polizistenmütze"
10902,"","Captain Hat","艦長的制服帽","","함장 제복 모자","Kapitänsmütze"
13101,"","Green DigiEgg","綠色數碼蛋","","녹색 디지타마","Grünes Digi-Ei"
13102,"","Red DigiEgg","紅色數碼蛋","","적색 디지타마","Rotes Digi-Ei"
13201,"","Gold DigiEgg","金色數碼蛋","","금색 디지타마","Goldenes Digi-Ei"
11001,"","Seadramon Flag","海龍鯉魚旗","","시드라 깃발","Seadramon-Flagge"
11101,"","Airdramon Flag","飛龍鯉魚旗","","에어드라 깃발","Airdramon-Flagge"
13301,"","Carp Flag","鯉魚旗","","잉어 깃발","Karpfen-Flagge"
13401,"","Golden Carp Flag","金色鯉魚旗","","금색 잉어 깃발","Gold-Karpfen-Flagge"
11201,"","ShellNumemon Doll","貝殼鼻涕獸人偶","","달팽이워매 인형","ShellNumemon-Puppe"
11301,"","BlackKingNumemon Doll","黑帝鼻涕獸人偶","","블랙킹워매 인형","BlackKingNum.-Puppe"
13501,"","BK-Numemon Doll (G)","金色黑帝鼻涕獸人偶","","블랙킹워매(금) 인형","G. BlackKingN.-Puppe"
11401,"","Super Star","超級星星","","슈퍼 스타","Toller Stern"
11402,"","Blue Star","藍色星星","","블루 스타","Blauer Stern"
11403,"","Red Star","紅色星星","","레드 스타","Roter Stern"
13601,"","Triple Star","三連星","","트리플 스타","Dreifacher Stern"
11501,"","Red Straw Hat","紅色草帽","","빨간 밀짚모자","Roter Strohhut"
11601,"","Blue Straw Hat","藍色草帽","","파란 밀짚모자","Blauer Strohhut"
13701,"","Sunflower","向日葵","","해바라기","Sonnenblume"
13801,"","Palmon Flower","巴魯獸的花","","팔몬의 꽃","Palmon-Blume"
13901,"","Golden Flower","金色花朵","","골드플라워","Goldene Blume"
11701,"","Moon Dumplings","賞月丸子","","달맞이 경단","Mond-Klöße"
11702,"","Red Moon Dumplings","紅豆餡賞月丸子","","달맞이 팥소 경단","Rote Mond-Klöße"
11703,"","Green Moon Dumplings","毛豆泥賞月丸子","","달맞이 찹쌀 경단","Grüne Mond-Klöße"
14001,"","Mortarboard","博士帽","","박사님 모자","Doktorhut"
14101,"","Golden Mortarboard","金色博士帽","","금색 박사님 모자","Goldener Doktorhut"
11801,"","Monster Pumpkin","怪物南瓜","","유령 호박","Monsterkürbis"
11802,"","Monster Pumpkin B","怪物黑南瓜","","유령 흑호박","Monsterkürbis (s)"
14201,"","Monster Pumpkin G","怪物金南瓜","","유령 금호박","Monsterkürbis (g)"
11901,"","Pumpkinmon Puppet","南瓜獸人偶","","펌프몬 인형","Pumpkinmon-Puppe"
12001,"","Digi-Bamboo","數碼菇","","디지 버섯","Digibambus"
12002,"","Vigor Mushroom","堅硬菇","","터프니스 버섯","Lebenspilz"
12003,"","Poisonous Mushroom","毒菇","","독버섯","Giftpilz"
14301,"","Golden Mushroom","金色菇","","금버섯","Goldener Pilz"
12101,"","Santa Hat","聖誕帽","","산타 모자","Weihnachtsmannmütze"
12102,"","Black Santa Hat","黑聖誕帽","","블랙 산타 모자","Weihnachtsmannm. (s)"
12103,"","Green Santa Hat","綠聖誕帽","","그린 산타 모자","Weihnachtsmannm. (g)"
14401,"","Present Box (W)","禮物盒【白】","","선물 상자(백)","Weißes Geschenk"
14402,"","Present Box (R)","禮物盒【紅】","","선물 상자(적)","Rotes Geschenk"
14501,"","Present Box (G)","禮物盒【金】","","선물 상자(금)","Goldenes Geschenk"
12201,"","King's Crown","國王王冠","","킹 크라운","Königskrone"
12301,"","Golden Crown","金色王冠","","금왕관","Goldene Krone"
12302,"","Silver Crown","銀色王冠","","은왕관","Silberne Krone"
12303,"","Bronze Crown","銅色王冠","","구리왕관","Bronzene Krone"
